file,entropy,equal,ahp,critic,entropy_rank,equal_rank,ahp_rank,critic_rank
0_00_0.csv,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5
0_01_10_2025-06-09-01-11-06.512662.csv,0.9400234673221273,0.9114583333333334,0.945558463402707,0.9191376997682601,101.0,101.0,101.0,101.0
0_06_40_2025-06-09-06-42-40.268269.csv,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5
0_06_55_2025-06-09-06-58-00.951563.csv,0.9853108620676945,0.9846938775510204,0.9870192449035072,0.9842899731403385,56.0,48.0,56.0,51.0
0_07_10_2025-06-09-07-11-07.053740.csv,0.9830330594073489,0.976890756302521,0.9849278824272997,0.9783061163492061,71.0,71.0,66.0,72.0
0_07_20_2025-06-09-07-21-41.773182.csv,0.9837447769878302,0.9787234042553192,0.9854154974487519,0.9799200815909644,64.0,69.0,64.0,67.0
0_07_20_2025-06-09-07-22-52.336689.csv,0.9765889044186872,0.962962962962963,0.9791289505514068,0.9667011193511555,83.0,93.0,84.0,92.0
0_09_45_2025-06-09-09-46-25.050366.csv,0.9907757943074129,0.9896907216494846,0.9913120019592337,0.9898278742190272,36.0,31.0,35.0,31.0
0_13_45_2025-06-09-13-46-08.925180.csv,0.9969995273068254,0.995253164556962,0.9973250711940885,0.9957322637143095,13.0,18.0,13.0,16.0
0_15_20_2025-06-09-15-21-06.594384.csv,0.9735276439136024,0.9722222222222222,0.9766036472121807,0.9715613866159767,88.0,82.5,88.0,86.0
0_17_40_2025-06-09-17-41-29.717071.csv,0.9832599847106047,0.9786821705426357,0.9851508893337365,0.9795648272280746,66.0,70.0,65.0,69.0
0_17_40_2025-06-09-17-41-59.701656.csv,0.9541214815235105,0.956140350877193,0.9586183091402822,0.9537647526444039,100.0,96.0,100.0,98.0
0_18_05_2025-06-09-18-07-29.469546.csv,0.9839703288523107,0.9804347826086957,0.9857932512313741,0.9809860660972263,62.0,62.0,62.0,63.0
0_20_10_2025-06-09-20-11-26.333113.csv,0.9777496153801722,0.9702970297029703,0.9802431859670528,0.9719443349961274,81.0,85.0,81.0,84.0
0_20_20_2025-06-09-20-21-19.196979.csv,0.9923515284900797,0.9900990099009901,0.993213152278132,0.9905580701915575,29.0,29.0,27.0,30.0
1_02_05_2025-06-10-02-06-19.598244.csv,0.9918961592218533,0.9871794871794872,0.9927754059601024,0.9884734643907847,31.0,39.0,30.0,36.0
1_06_10_2025-06-10-06-11-53.053030.csv,0.9908196391947882,0.9869281045751634,0.9918366669606491,0.9878908190315588,35.0,41.0,34.0,39.0
1_06_50_2025-06-10-06-52-47.138612.csv,0.9909052196489808,0.9909638554216867,0.9919693334828036,0.9905610530191942,34.0,27.0,33.0,29.0
1_07_25_2025-06-10-07-28-17.467823.csv,0.9863103689634614,0.9836309523809524,0.9878720919003295,0.9839839141624269,52.0,49.0,51.0,52.0
1_07_50_2025-06-10-07-53-49.486530.csv,0.9819726533597052,0.9832589285714286,0.9840328876150455,0.9821136795872939,73.0,53.0,73.0,56.0
1_08_15_2025-06-10-08-16-09.017125.csv,0.9866395262100072,0.9867256637168142,0.9882027376827026,0.9861339362936835,51.0,42.0,50.0,47.0
1_09_30_2025-06-10-09-31-38.061798.csv,0.9721473792151657,0.9766666666666667,0.9754689322663659,0.9739289594320646,92.0,72.0,91.0,81.0
1_11_45_2025-06-10-11-46-10.069174.csv,0.983068761231372,0.9732142857142857,0.9849057588809281,0.9759177738164607,69.0,79.0,68.0,77.0
